wordle_num,T1,T2,T3,T4,T5,T6,TX,WordleAnswer,wordleNum,Unique,Prev,Rarity,wordle_id,K2,K3,K4,K5,K6,Tmean,Kmean
180,4,7,72,94,58,25,5,USING,180,5,2.45,0.260356,180,NA,NA,NA,NA,NA,4.094339623,NA
181,6,57,173,171,86,21,4,PEACH,181,5,2.33,0.303666,181,NA,NA,NA,NA,NA,3.681467181,NA
182,4,32,213,241,92,29,9,CHAMP,182,5,2.15,0.222188,182,NA,NA,NA,NA,NA,3.819354839,NA
183,1,50,248,264,117,37,2,BATON,183,5,2.12,0.313374,183,NA,NA,NA,NA,NA,3.78581363,NA
184,8,84,222,252,180,116,24,BRAKE,184,5,2.32,0.304118,184,NA,NA,NA,NA,NA,4.079006772,NA
185,7,57,465,585,185,39,2,PLUCK,185,5,2.16,0.179276,185,NA,NA,NA,NA,NA,3.752985075,NA
186,10,54,214,368,448,328,129,CRAZE,186,5,2.42,0.320492,186,NA,NA,NA,NA,NA,4.734364926,NA
187,18,222,1027,1176,604,250,31,GRIPE,187,5,1.82,0.31924,187,NA,NA,NA,NA,NA,3.901442308,NA
188,53,321,834,967,551,193,19,WEARY,188,5,2.43,0.30306,188,NA,NA,NA,NA,NA,3.78182437,NA
189,12,115,972,1474,497,161,23,PICKY,189,5,2.58,0.181302,189,NA,NA,NA,NA,NA,3.892440074,NA
190,20,224,1181,1475,804,304,41,ACUTE,190,5,2.33,0.347778,190,NA,NA,NA,NA,NA,3.961965918,NA
191,32,156,516,1001,1186,1180,386,FERRY,191,4,2.25,0.299125,191,NA,NA,NA,NA,NA,4.848104106,NA
192,34,521,2113,2194,1198,429,54,ASIDE,192,5,2.11,0.363216,192,NA,NA,NA,NA,NA,3.841204341,NA
193,33,1198,4248,3161,1178,384,41,TAPIR,193,5,0.51,0.337403,193,NA,NA,NA,NA,NA,3.543688373,NA
194,44,955,3891,3649,1796,661,83,TROLL,194,4,2.44,0.326739,194,NA,NA,NA,NA,NA,3.768390649,NA
195,28,188,1929,4518,3466,1323,91,UNIFY,195,5,2.16,0.2142,195,NA,NA,NA,NA,NA,4.346183834,NA
196,31,316,2250,4309,3635,2148,398,REBUS,196,5,0.06,0.301795,196,NA,NA,NA,NA,NA,4.469931994,NA
197,73,938,4773,7490,4164,1393,119,BOOST,197,4,2.43,0.29085,197,NA,NA,NA,NA,NA,4.023166227,NA
198,108,1243,7038,8685,5608,2632,441,TRUSS,198,4,0.91,0.296328,198,NA,NA,NA,NA,NA,4.091127936,NA
199,149,786,4669,8294,8334,5262,858,SIEGE,199,4,1.97,0.380718,199,NA,NA,NA,NA,NA,4.52003386,NA
200,502,5020,13727,15401,10417,5447,899,TIGER,200,5,2.43,0.357078,200,NA,NA,NA,NA,NA,3.975395328,NA
201,283,1541,9857,19049,16123,7892,946,BANAL,201,4,0.98,0.312089,201,NA,NA,NA,NA,NA,4.37630856,NA
202,407,2530,19070,31381,18787,6714,794,SLUMP,202,5,2.25,0.210352,202,NA,NA,NA,NA,NA,4.116034788,NA
203,537,4591,22106,28801,22738,12514,2124,CRANK,203,5,2.24,0.283723,203,NA,NA,NA,NA,NA,4.227371509,NA
204,456,2251,11571,22993,25654,18198,3201,GORGE,204,4,1.97,0.308461,204,NA,NA,NA,NA,NA,4.642901191,NA
205,1073,3520,15708,29743,29097,16706,1978,QUERY,205,5,2,0.243465,205,NA,NA,NA,NA,NA,4.434203936,NA
206,1289,12421,50026,48216,21558,6696,823,DRINK,206,5,2.25,0.262661,206,NA,NA,NA,NA,NA,3.707038978,NA
207,1298,5237,19151,32892,36695,25982,4720,FAVOR,207,5,2.15,0.260605,207,NA,NA,NA,NA,NA,4.550109149,NA
208,698,2683,15926,35529,37917,23981,3501,ABBEY,208,4,1.61,0.255792,208,NA,NA,NA,NA,NA,4.607111074,NA
209,838,7095,33172,47245,35426,22152,6612,TANGY,209,5,1.76,0.263503,209,NA,NA,NA,NA,NA,4.325750623,NA
210,1691,17549,66067,64967,29355,9187,1041,PANIC,210,5,2.43,0.304017,210,222,897,1064,489,165,3.708275176,3.81600282
211,1237,16393,61295,61709,34002,13340,1853,SOLAR,211,5,2.43,0.344654,211,196,903,1016,564,215,3.833792519,3.895991707
212,1092,16827,66606,65309,35400,14762,2722,SHIRE,212,5,1.58,0.350249,212,191,787,820,413,188,3.849811068,3.841600667
213,1115,3245,22225,49640,62012,51756,11462,PROXY,213,5,2.22,0.199796,213,51,260,630,697,481,4.833188553,4.61208117
214,3632,42116,96340,73154,30935,9875,1545,POINT,214,5,2.58,0.314807,214,383,1012,823,363,122,3.471469,3.566777654
215,1555,18007,65965,75976,43556,16775,2190,ROBOT,215,4,2.34,0.309308,215,246,877,1017,579,224,3.897475271,3.883792049
216,2289,21168,77936,83548,45738,16909,2755,PRICK,216,5,2.23,0.239332,216,461,1952,2078,1199,415,3.842943482,3.861588862
217,1171,6653,38704,73217,64052,31596,4984,WINCE,217,5,1.84,0.311886,217,102,566,1031,843,418,4.393294219,4.307094595
218,1277,13150,70595,96606,50005,15594,1901,CRIMP,218,5,1.47,0.258445,218,170,1009,1384,730,187,3.944486368,3.929597701
219,1418,3546,25831,68019,77289,48428,8509,KNOLL,219,4,1.59,0.258981,219,38,343,927,1039,583,4.697283728,4.609556314
220,2763,15798,63165,87744,57923,22970,2965,SUGAR,220,5,2.25,0.279139,220,392,1629,2389,1609,637,4.038321859,4.070612981
221,1630,9864,61899,104459,66849,27343,4344,WHACK,221,5,2.18,0.184303,221,274,1530,2630,1608,603,4.173849805,4.11075997
222,2522,27675,89674,101525,57384,21193,3069,MOUNT,222,5,2.43,0.274125,222,567,2010,2397,1322,468,3.856082655,3.869012419
223,1694,10006,47355,82651,73890,45879,9499,PERKY,223,5,2.58,0.247882,223,597,2885,5086,4594,2614,4.449105818,4.364033976
224,2224,19478,84052,100093,56716,20619,2912,COULD,224,5,2.44,0.242068,224,443,2100,2528,1418,457,3.919641796,3.905845091
225,1110,4995,48425,107302,72373,30396,3867,WRUNG,225,5,0.83,0.216265,225,123,1305,2914,1856,699,4.309239835,4.24691895
226,4327,31891,79560,84674,58569,36341,12205,LIGHT,226,5,2.24,0.254589,226,687,1801,1796,1189,628,4.037530034,3.880347484
227,2343,41170,111050,96880,48611,17577,2884,THOSE,227,5,2.34,0.340136,227,911,2436,2122,995,355,3.663036051,3.625604927
228,9562,42451,105497,94730,51371,20812,3535,MOIST,228,5,2.58,0.304072,228,774,1951,1925,968,388,3.647866495,3.707792208
229,2176,22501,72177,93562,78694,43437,9668,SHARD,229,5,1.64,0.282004,229,446,1614,2032,1605,807,4.219930792,4.109624846
230,2370,33585,93125,102639,62507,27742,5192,PLEAT,230,5,1.45,0.352646,230,691,1993,2087,1323,571,3.896570485,3.863465866
231,1541,12782,65726,104366,70348,29999,4358,ALOFT,231,5,1.91,0.299124,231,360,1836,2832,1974,811,4.164315855,4.133111481
232,2039,7831,48602,95723,76706,43042,7628,SKILL,232,4,2.43,0.253601,232,87,631,1195,937,474,4.409463333,4.324909747
233,1596,7786,35017,64844,78697,60539,11359,ELDER,233,4,2.33,0.38776,233,195,943,1762,2061,1492,4.686870281,4.575236324
234,3090,29720,63238,75207,73412,50601,8376,FRAME,234,5,2.43,0.320632,234,668,1423,1633,1574,927,4.223268038,4.10746988
235,2267,12457,59710,95904,70232,30934,4292,HUMOR,235,5,2.16,0.243915,235,290,1425,2332,1688,751,4.194168878,4.182701203
236,3633,21415,72069,90395,58707,25956,3752,PAUSE,236,5,2.33,0.321903,236,792,2519,3417,2260,1066,3.985782471,4.028744778
237,2880,9137,45252,77287,70289,39727,6561,ULCER,237,5,2.03,0.324005,237,383,1835,3293,3131,1518,4.387284825,4.350984252
238,2602,16069,56934,85440,58828,22717,2239,ULTRA,238,5,2.12,0.321485,238,400,1587,2553,1793,732,4.057595301,4.123142251
239,1925,15053,73379,86744,52166,19880,2242,ROBIN,239,5,2.25,0.310156,239,312,1382,1754,1169,423,3.95780245,4.001785714
240,1398,3890,26107,78641,79545,38789,5823,CYNIC,240,4,1.8,0.250547,240,110,726,2258,2303,1051,4.582899574,4.536445409
241,1938,15479,68080,87324,56810,28285,4130,AROMA,241,4,2.24,0.347505,241,353,1791,2386,1572,733,4.079825679,4.079151426
242,2022,11418,53599,82488,66053,36728,6994,CAULK,242,5,1.03,0.232571,242,158,740,1063,775,486,4.300768988,4.214463066
243,3831,18256,48580,70663,73780,63657,26763,SHAKE,243,5,2.44,0.294974,243,207,556,729,713,567,4.604844042,4.316378066
244,1985,7046,36799,69893,66517,43253,12742,DODGE,244,4,2.18,0.275635,244,97,540,1085,1062,573,4.564161437,4.439082514
245,1475,2904,20281,50338,79156,74766,23270,SWILL,245,4,2.43,0.255484,245,43,302,684,1026,878,5.062627384,4.816229117
246,1278,9755,54494,81295,62510,32268,5486,TACIT,246,4,0.93,0.34482,246,138,756,1157,878,399,4.265761719,4.193509615
247,2970,23307,66192,77618,53365,25486,4534,OTHER,247,5,2.25,0.358594,247,329,964,1130,765,332,3.985098946,3.945170455
248,2240,40146,109138,86334,33077,10068,1125,THORN,248,5,2.58,0.313531,248,480,1408,1163,416,130,3.505323825,3.529608007
249,1451,11778,42798,61946,62121,51691,17163,TROVE,249,5,1.19,0.338634,249,307,1233,1805,1612,1253,4.587612674,4.365700483
250,1376,13077,50002,75073,58314,27178,4073,BLOKE,250,5,1.75,0.269871,250,476,1603,2419,1782,826,4.194702588,4.123698283
251,1644,4147,23088,66670,76663,48035,7993,VIVID,251,3,2.21,0.204888,251,243,987,2661,3196,2002,4.702760252,4.630102321
252,1253,11487,60939,78361,49432,22201,3827,SPILL,252,4,2.32,0.274256,252,304,1644,2173,1407,612,4.077551648,4.061726384
253,1336,21913,75710,76880,37517,14404,2065,CHANT,253,5,2.17,0.296441,253,699,2523,2537,1180,449,3.777987599,3.750541419
254,2490,18691,70982,83233,41269,13019,1429,CHOKE,254,5,2.31,0.26968,254,944,3309,3959,1968,591,3.808578488,3.809952651
255,1232,4905,37240,78224,64771,27740,3882,RUPEE,255,4,0.98,0.367002,255,113,756,1626,1416,666,4.372262539,4.385842255
256,2122,16901,61870,73812,50569,25948,4867,NASTY,256,5,2.34,0.296149,256,531,1939,2340,1562,747,4.063653961,4.007725804
257,1563,17082,65904,75076,42334,16680,2121,MOURN,257,5,2.12,0.280425,257,589,2113,2653,1493,586,3.897173401,3.915792306
258,1214,8212,37913,66163,48757,21051,2751,AHEAD,258,4,2.58,0.345417,258,309,1488,2592,1999,901,4.221072659,4.232542187
259,1205,19794,54122,62121,45160,23626,4523,BRINE,259,5,1.77,0.350128,259,341,995,1192,734,382,4.04111118,3.950878156
260,1116,15691,66914,69259,34011,12979,1700,CLOTH,260,5,2.58,0.271459,260,546,2586,2739,1339,457,3.818639361,3.814138516
261,NA,NA,NA,NA,NA,NA,NA,HOARD,261,5,2.04,0.296288,261,676,2338,2610,1431,462,NA,3.822402554
262,NA,NA,NA,NA,NA,NA,NA,SWEET,262,4,2.34,0.362973,262,319,1170,1907,1660,853,NA,4.263665595
263,NA,NA,NA,NA,NA,NA,NA,MONTH,263,5,2.32,0.267851,263,397,1976,2891,1737,585,NA,4.018059583
264,NA,NA,NA,NA,NA,NA,NA,LAPSE,264,5,1.89,0.340488,264,286,1208,1286,739,261,NA,3.862698413
265,NA,NA,NA,NA,NA,NA,NA,WATCH,265,5,2.19,0.242796,265,408,1036,1325,1103,1310,NA,4.361057507
266,NA,NA,NA,NA,NA,NA,NA,TODAY,266,5,2.44,0.277733,266,292,1050,1327,751,303,NA,3.925597636
267,NA,NA,NA,NA,NA,NA,NA,FOCUS,267,5,2.26,0.228803,267,155,807,1343,1074,391,NA,4.19602122
268,NA,NA,NA,NA,NA,NA,NA,SMELT,268,5,1.84,0.323489,268,211,721,1209,1042,449,NA,4.219438326
269,NA,NA,NA,NA,NA,NA,NA,TEASE,269,4,2.24,0.43504,269,619,1218,1154,547,200,NA,3.596308186
270,NA,NA,NA,NA,NA,NA,NA,CATER,270,5,1.73,0.387279,270,257,723,813,657,547,NA,4.171504838
271,NA,NA,NA,NA,NA,NA,NA,MOVIE,271,5,2.25,0.298893,271,192,679,1138,1008,563,NA,4.299162011
272,NA,NA,NA,NA,NA,NA,NA,SAUTE,272,5,NA,0.359741,272,268,1147,1372,708,300,NA,3.901185771
273,NA,NA,NA,NA,NA,NA,NA,ALLOW,273,4,2.17,0.279286,273,144,743,1216,973,568,NA,4.29582876